"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","LBH","LBD","LBA","season"
"SP1","23/03/10","Sevilla","Xerez",1,1,"D",0,0,"D",19,6,3,1,8,17,4,5,0,2,0,0,1.29,5.25,11,1.25,5.25,11,1.25,5.5,10,1.22,5,10,"09/10"
"SP1","21/03/10","Zaragoza","Barcelona",2,4,"A",0,1,"A",10,18,2,6,22,18,7,6,3,3,0,0,11,5.25,1.29,9,5,1.3,8,4.8,1.33,8,4.5,1.29,"09/10"
"SP1","21/03/10","Valencia","Almeria",2,0,"H",0,0,"D",23,8,7,3,15,18,5,8,2,2,0,0,1.57,3.75,6,1.55,4,5.5,1.6,3.6,5.6,1.62,3.5,4.5,"09/10"
"SP1","21/03/10","Osasuna","Santander",1,3,"A",1,1,"D",13,12,6,6,17,17,10,4,2,2,0,0,2,3.3,3.75,2.05,3.25,3.5,2,3.3,3.6,1.91,3.2,3.5,"09/10"
"SP1","21/03/10","Mallorca","Ath Madrid",4,1,"H",2,1,"H",18,10,9,5,16,16,7,3,1,1,0,1,2.1,3.3,3.5,2.1,3.4,3.2,2.2,3.2,3.2,2.1,3.2,3,"09/10"
"SP1","21/03/10","Malaga","Villarreal",2,0,"H",0,0,"D",11,10,6,3,22,19,7,3,1,1,0,0,2.88,3.2,2.5,2.6,3.25,2.55,2.6,3.2,2.6,2.5,3.25,2.4,"09/10"
"SP1","20/03/10","Xerez","Tenerife",2,1,"H",2,0,"H",13,17,4,5,18,14,2,9,1,4,1,0,2.4,3.3,2.88,2.45,3.25,2.75,2.3,3.3,2.9,2.25,3.2,2.75,"09/10"
"SP1","20/03/10","Real Madrid","Sp Gijon",3,1,"H",0,0,"D",28,9,10,5,16,15,4,3,2,1,0,0,1.13,8,19,1.14,7.5,14.5,1.15,6.5,15,1.12,6.5,13,"09/10"
"SP1","20/03/10","La Coruna","Valladolid",0,2,"A",0,1,"A",4,15,1,6,10,16,5,9,0,0,0,0,1.67,3.6,5.25,1.62,3.7,5.25,1.6,3.6,5.6,1.57,3.5,5,"09/10"
"SP1","20/03/10","Espanol","Sevilla",2,0,"H",1,0,"H",24,11,7,2,18,9,2,7,3,2,0,0,3.2,3.3,2.25,3,3.3,2.25,3.2,3.2,2.2,2.8,3.2,2.2,"09/10"
"SP1","20/03/10","Ath Bilbao","Getafe",2,2,"D",1,1,"D",11,15,3,8,15,19,5,5,2,4,1,1,2.1,3.3,3.5,2.05,3.4,3.3,2,3.3,3.6,1.91,3.2,3.5,"09/10"
"SP1","15/03/10","Ath Madrid","Osasuna",1,0,"H",0,0,"D",14,12,6,5,10,18,5,7,2,4,1,0,1.73,3.5,5,1.7,3.6,4.6,1.7,3.6,4.7,1.62,3.5,4.5,"09/10"
"SP1","14/03/10","Villarreal","Xerez",2,0,"H",1,0,"H",25,4,9,2,11,19,6,3,1,3,0,0,1.36,4.5,9,1.35,4.6,8,1.4,4.5,7,1.33,4,8,"09/10"
"SP1","14/03/10","Valladolid","Real Madrid",1,4,"A",0,2,"A",11,21,2,11,27,22,2,2,5,3,0,0,10,5.25,1.29,10.5,5.65,1.28,10,5,1.27,8,5,1.25,"09/10"
"SP1","14/03/10","Tenerife","Espanol",4,1,"H",1,0,"H",21,10,8,3,17,22,9,2,1,4,0,0,2.2,3.3,3.25,2.25,3.3,3,2.3,3.2,3,2.25,3.2,2.75,"09/10"
"SP1","14/03/10","Santander","Zaragoza",0,0,"D",0,0,"D",9,8,3,4,28,19,3,4,1,2,0,0,2.2,3.3,3.25,2.25,3.25,3.05,2.1,3.3,3.5,2.1,3.2,3,"09/10"
